"","seq_name","taxonomy_Kingdom","taxonomy_Supergroup","taxonomy_Division","taxonomy_Class","taxonomy_Order","taxonomy_Family","taxonomy_Genus","taxonomy_Species","confidence_Kingdom","confidence_Supergroup","confidence_Division","confidence_Class","confidence_Order","confidence_Family","confidence_Genus","confidence_Species"
"884","ASV_884","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",75.5574204499869,75.5574204499869,75.5574204499869,75.0848984108939,59.1518418227361,41.4434121204279,41.4434121204279,41.4434121204279
"885","ASV_885","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Asterotremella","Asterotremella_humicola",69.0018347029768,69.0018347029768,69.0018347029768,68.2247523032956,60.5502075595576,59.8204824418868,22.2595970792972,20.0305260298152
"886","ASV_886","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Chaetothyriales","Chaetothyriales_sp.",83.6025895265564,83.6025895265564,83.6025895265564,83.6025895265564,83.6025895265564,52.1580843112039,11.3536514969598,11.3536514969598
"887","ASV_887","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Sporobolomyces","Sporobolomyces_roseus",69.9803467575166,69.9803467575166,69.9803467575166,69.9803467575166,61.5935335293396,39.83886441143,34.0642415052015,13.2372638492632
"888","ASV_888","Eukaryota","Opisthokonta","Fungi","Ascomycota","Taphrinomycotina","Taphrinomycetes","Taphrina","Taphrina_vestergrenii",88.4720643254942,88.4720643254942,88.4720643254942,88.4720643254942,86.0812287132652,86.0812287132652,64.5977715161552,44.8388653547836
"889","ASV_889","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",69.6210194230439,69.0365039738648,68.5506796315355,35.924866624611,35.924866624611,19.0205776073334,19.0205776073334,19.0205776073334
"890","ASV_890","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Tilletiopsis","Tilletiopsis_pallescens",69.5643609989155,69.5643609989155,69.5643609989155,68.9762046312446,47.5124001813798,47.5124001813798,46.8375987369453,46.8375987369453
"891","ASV_891","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Exobasidiomycetes_X","Exobasidiomycetes_X_sp.",76.2653807029576,76.2653807029576,76.2653807029576,70.114491572838,34.1155366202388,34.1155366202388,20.6037864886278,20.6037864886278
"892","ASV_892","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",66.9586293336347,66.9586293336347,46.2239446138279,43.8011312499173,42.5570782832934,41.4451972490397,22.6744715454668,22.6744715454668
"893","ASV_893","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Escovopsis","Escovopsis_sp.",78.8149069688011,78.2976590218142,78.2976590218142,13.7926179662664,13.7926179662664,13.7926179662664,13.7926179662664,13.7926179662664
"894","ASV_894","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",62.2568361967492,61.8306884256878,61.8306884256878,30.3913939494861,28.512771981161,21.3179667755168,9.20586998443335,9.20586998443335
"895","ASV_895","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",65.6877000119958,65.0216995748519,65.0216995748519,64.0127546471321,29.7501564373203,20.6954229896881,20.6954229896881,20.6954229896881
"896","ASV_896","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Sporidiobolus","Sporidiobolus_pararoseus",65.991980204159,21.7992379130718,20.4418255914549,20.4418255914549,20.4418255914549,8.22279530938238,5.38825139796241,3.88876267929911
"897","ASV_897","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Dipentodon","Dipentodon_sinicus",62.0987172920058,44.4503615317894,44.4503615317894,44.4503615317894,44.4503615317894,44.4503615317894,4.7911704400087,4.7911704400087
